name,cuisine,type,price,phone,opening_hours,rating,review_count,special_dish,url,foodie_type
泰誇張,泰國菜,咖喱,$101-200,,,0.0,0,,,Regular Foodie
楚撚記大排檔 (日富里百好大廈),粵菜 (廣東),中菜館,$101-200,,,0.0,0,,,Regular Foodie
馬六,新加坡菜,馬來西亞菜,$51-100,,,0.0,0,,,Regular Foodie
斗滾 (適安大廈),港式,火鍋,$201-400,,,0.0,0,,,Regular Foodie
The Praya,粵菜 (廣東),港式,$401-800,,,0.0,0,,,Regular Foodie
SOUTH LANE (南里),西式,咖啡店,$101-200,,,0.0,0,,,Regular Foodie
The Big Bite Flame-Grill,美國菜,烤肉,$101-200,,,0.0,0,,,Regular Foodie
廿一由八,西式,咖啡店,$101-200,,,0.0,0,,,Regular Foodie
巴辣仔烤魚,川菜 (四川),火鍋,$101-200,,,0.0,0,,,Regular Foodie
Dear Neighbor,西式,All Day Breakfast,$51-100,,,0.0,0,,,Regular Foodie
好螺記,桂菜 (廣西),粉麵/米線,$50以下,,,0.0,0,,,Regular Foodie
TBC,多國菜,咖啡店,$101-200,,,0.0,0,,,Regular Foodie
德記潮州菜館,潮州菜,中菜館,$101-200,,,0.0,0,,,Regular Foodie
HOHON Eatery,西式,漢堡包,$101-200,,,0.0,0,,,Regular Foodie
大源味,港式,粉麵/米線,$50以下,,,0.0,0,,,Regular Foodie
串到爆,川菜 (四川),串燒,$101-200,,,0.0,0,,,Regular Foodie
彩麵,日本菜,拉麵,$51-100,,,0.0,0,,,Regular Foodie
彩aya,日本菜,拉麵,$51-100,,,0.0,0,,,Regular Foodie
波記燒臘粉麵店,港式,粉麵/米線,$50以下,,,0.0,0,,,Regular Foodie
TGIF,西式,咖啡店,$101-200,,,0.0,0,,,Regular Foodie
活一鮮,日本菜,壽司/刺身,$101-200,,,0.0,0,,,Regular Foodie
湘聚小廚,川菜 (四川),湘菜 (湖南),$51-100,,,0.0,0,,,Regular Foodie
G’Day,多國菜,咖啡店,$201-400,,,0.0,0,,,Regular Foodie
塘西豐味館私房菜,粵菜 (廣東),中菜館,$101-200,,,0.0,0,,,Regular Foodie
一口沙嗲專門店,新加坡菜,馬來西亞菜,$51-100,,,0.0,0,,,Regular Foodie
Fineprint,西式,咖啡店,$50以下,,,0.0,0,,,Regular Foodie
馬來一菜館,新加坡菜,馬來西亞菜,$201-400,,,0.0,0,,,Regular Foodie
ARF Cafe,西式,All Day Breakfast,$101-200,,,0.0,0,,,Regular Foodie
山道冰室,港式,茶餐廳/冰室,$51-100,,,0.0,0,,,Regular Foodie
